,gloss,wnid,words
30314,right-eyed flatfish; many are valued as food; most common in warm seas especially European,n02663849,sole
30315,highly valued as food,n02664285,"European sole, Solea solea"
30316,small European sole,n02664399,"lemon sole, Solea lascaris"
30317,popular pale brown food flatfish of the Pacific coast of North America,n02664642,"English sole, lemon sole, Parophrys vitulus"
30318,a common flatfish of the Pacific coast of North America,n02664960,"sand sole, Psettichthys melanostichus"
30319,useless as food; in coastal streams from Maine to Texas and Panama,n02665250,"hogchoker, Trinectes maculatus"
30320,any fish useless for food or sport or even as bait,n02513248,rough fish
30326,any of various fishes that carry their eggs and their young in their mouths,n02513805,mouthbreeder
30327,a female fish at spawning time,n02513939,spawner
30328,a voracious freshwater fish that is native to northeastern China; can use fin to walk and can survive out of water for three days; a threat to American populations of fish,n02514320,northern snakehead
30329,any fish of the class Osteichthyes,n02514825,bony fish
30330,any fish of the order Crossopterygii; most known only in fossil form,n02515214,"crossopterygian, lobefin, lobe-finned fish"
30331,fish thought to have been extinct since the Cretaceous period but found in 1938 off the coast of Africa,n02515713,"coelacanth, Latimeria chalumnae"
30332,air-breathing fish having an elongated body and fleshy paired fins; certain species construct mucus-lined mud coverings in which to survive drought,n02516188,lungfish
30333,extinct lungfish,n02516776,ceratodus
30334,a bony fish of the subclass Teleostei,n02528163,"teleost fish, teleost, teleostan"
30335,any fish of the superorder Malacopterygii,n01428580,"soft-finned fish, malacopterygian"
30341,in some classifications considered a superorder comprising the Cypriniformes and the Siluriformes,n01429172,"Ostariophysi, order Ostariophysi"
30342,a soft-finned fish of the order Cypriniformes,n01438208,cypriniform fish
30343,slender freshwater fishes of Eurasia and Africa resembling catfishes,n01438581,loach
30344,soft-finned mainly freshwater fishes typically having toothless jaws and cycloid scales,n01439121,"cyprinid, cyprinid fish"
30345,any of various freshwater fish of the family Cyprinidae,n01439514,carp
30346,large Old World freshwater bottom-feeding fish introduced into Europe from Asia; inhabits ponds and sluggish streams and often raised for food; introduced into United States where it has become a pest,n01439808,"domestic carp, Cyprinus carpio"
30347,freshwater dace-like game fish of Europe and western Asia noted for ability to survive outside water,n01440764,"tench, Tinca tinca"
30348,small European freshwater fish with a slender bluish-green body,n01441117,"dace, Leuciscus leuciscus"
30349,European freshwater game fish with a thick spindle-shaped body,n01441272,"chub, Leuciscus cephalus"
30350,any of numerous small silvery North American cyprinid fishes especially of the genus Notropis,n01441425,shiner
30351,small blunt-nosed fish of Great Lakes and Mississippi valley with a greenish luster,n01441742,"emerald shiner, Notropis atherinoides"
30352,the common North American shiner,n01441910,"common shiner, silversides, Notropis cornutus"
30353,shiner of eastern North America having golden glints; sometimes also called `bream',n01442166,"golden shiner, Notemigonus crysoleucas"
30354,European freshwater food fish having a greenish back,n01442450,"roach, Rutilus rutilus"
30355,European freshwater fish resembling the roach,n01442710,"rudd, Scardinius erythrophthalmus"
30356,very small European freshwater fish common in gravelly streams,n01442972,"minnow, Phoxinus phoxinus"
30357,small slender European freshwater fish often used as bait by anglers,n01443243,"gudgeon, Gobio gobio"
30358,small golden or orange-red freshwater fishes of Eurasia used as pond or aquarium fishes,n01443537,"goldfish, Carassius auratus"
30359,a silvery variety of Carassius auratus,n01443736,silverfish
30360,European carp closely resembling wild goldfish,n01443831,"crucian carp, Carassius carassius, Carassius vulgaris"
30361,eel-shaped freshwater fish of South America having electric organs in its body,n01444339,"electric eel, Electrophorus electric"
30362,a cypriniform fish of the family Catostomidae,n01444783,catostomid
30363,mostly North American freshwater fishes with a thick-lipped mouth for feeding by suction; related to carps,n01444922,sucker
30364,any of several large suckers of the Mississippi valley,n01445429,"buffalo fish, buffalofish"
30365,widely distributed in warm clear shallow streams,n01445857,"hog sucker, hog molly, Hypentelium nigricans"
30366,North American sucker with reddish fins,n01446152,"redhorse, redhorse sucker"
30367,any member of the family Cyprinodontidae,n01446589,cyprinodont
30368,small mostly marine warm-water carp-like schooling fishes; used as bait or aquarium fishes or in mosquito control,n01446760,killifish
30369,silver-and-black killifish of saltwater marshes along the Atlantic coast of the United States,n01447139,"mummichog, Fundulus heteroclitus"
30370,black-barred fish of bays and coastal marshes of the Atlantic and Gulf Coast of the United States,n01447331,"striped killifish, mayfish, may fish, Fundulus majalis"
30371,found in small streams of tropical America; often kept in aquariums; usually hermaphroditic,n01447658,rivulus
30372,a fish with a dark-blue back and whitish sides with red stripes; found in swamps and streams of Florida,n01447946,"flagfish, American flagfish, Jordanella floridae"
30373,freshwater fish of Central America having a long swordlike tail; popular aquarium fish,n01448291,"swordtail, helleri, topminnow, Xyphophorus helleri"
30374,small freshwater fish of South America and the West Indies; often kept in aquariums,n01448594,"guppy, rainbow fish, Lebistes reticulatus"
30375,small usually brightly-colored viviparous surface-feeding fishes of fresh or brackish warm waters; often used in mosquito control,n01448951,"topminnow, poeciliid fish, poeciliid, live-bearer"
30376,silvery topminnow with rows of black spots of tropical North America and West Indies; important in mosquito control,n01449374,"mosquitofish, Gambusia affinis"
30377,small stocky Mexican fish; popular aquarium fish,n01449712,"platy, Platypoecilus maculatus"
30378,popular aquarium fish,n01449980,"mollie, molly"
30379,any freshwater fish of the family Characinidae,n02583567,"characin, characin fish, characid"
30380,brightly colored tropical freshwater fishes,n02583890,tetra
30381,small bright red and blue aquarium fish from streams in Brazil and Colombia,n02584145,"cardinal tetra, Paracheirodon axelrodi"
30382,small voraciously carnivorous freshwater fishes of South America that attack and destroy living animals,n02584449,"piranha, pirana, caribe"
30383,any of numerous mostly freshwater bottom-living fishes of Eurasia and North America with barbels like whiskers around the mouth,n02517442,"catfish, siluriform fish"
30384,Old World freshwater catfishes having naked skin and a long anal fin more or less merged with the eellike caudal fin,n02517938,"silurid, silurid fish"
30385,freshwater catfish of the Nile and tropical central Africa having an electric organ,n02518622,"electric catfish, Malopterurus electricus"
30386,large elongated catfish of central and eastern Europe,n02518324,"European catfish, sheatfish, Silurus glanis"
30387,any of several common freshwater catfishes of the United States,n02519148,"bullhead, bullhead catfish"
30388,catfish common in eastern United States,n02519340,"horned pout, hornpout, pout, Ameiurus Melas"
30389,freshwater catfish of eastern United States,n02519472,brown bullhead
30390,freshwater food fish common throughout central United States,n02519686,"channel catfish, channel cat, Ictalurus punctatus"
30391,a large catfish of the Mississippi valley,n02519862,"blue catfish, blue cat, blue channel catfish, blue channel cat"
30392,large catfish of central United States having a flattened head and projecting jaw,n02520147,"flathead catfish, mudcat, goujon, shovelnose catfish, spoonbill catfish, Pylodictus olivaris"
30393,South American catfish having the body covered with bony plates,n02520525,armored catfish
30394,any of numerous marine fishes most of which are mouthbreeders; not used for food,n02520810,sea catfish
30395,sea catfish of the Caribbean area,n02521129,crucifix fish
30396,a soft-finned fish of the family Gadidae,n02521646,"gadoid, gadoid fish"
30397,major food fish of Arctic and cold-temperate waters,n02522399,"cod, codfish"
30398,young codfish,n02522637,codling
30399,one of the world's most important commercial fishes,n02522722,"Atlantic cod, Gadus morhua"
30400,closely related to Atlantic cod,n02522866,"Pacific cod, Alaska cod, Gadus macrocephalus"
30401,elongate freshwater cod of northern Europe and Asia and North America having barbels around its mouth,n02523427,"burbot, eelpout, ling, cusk, Lota lota"
30402,young Atlantic cod or haddock especially one split and boned for cooking,n02523617,"scrod, schrod"
30403,a food fish of the Atlantic waters of Europe resembling the cod; sometimes placed in genus Gadus,n02523110,"whiting, Merlangus merlangus, Gadus merlangus"
30404,important food fish on both sides of the Atlantic; related to cod but usually smaller,n02523877,"haddock, Melanogrammus aeglefinus"
30405,important food and game fish of northern seas (especially the northern Atlantic); related to cod,n02524202,"pollack, pollock, Pollachius pollachius"
30406,any of several marine food fishes related to cod,n02524524,hake
30407,American hakes,n02524928,ling
30408,found off Atlantic coast of North America,n02524659,"silver hake, Merluccius bilinearis, whiting"
30409,elongated marine food fish of Greenland and northern Europe; often salted and dried,n02525120,"ling, Molva molva"
30410,large edible marine fish of northern coastal waters; related to cod,n02525382,"cusk, torsk, Brosme brosme"
30411,deep-sea fish with a large head and body and long tapering tail,n02525703,"grenadier, rattail, rattail fish"
30412,voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins,n02526121,eel
30413,young eel,n02526425,elver
30414,eels that live in fresh water as adults but return to sea to spawn; found in Europe and America; marketed both fresh and smoked,n02526818,"common eel, freshwater eel"
30415,New Zealand eel,n02527057,"tuna, Anguilla sucklandii"
30416,family of brightly colored voracious eels of warm coastal waters; generally nonaggressive to humans but larger species are dangerous if provoked,n02527271,"moray, moray eel"
30417,large dark-colored scaleless marine eel found in temperate and tropical coastal waters; some used for food,n02527622,"conger, conger eel"
30418,fish of sandy areas of western Pacific and Indian oceans having an angular snout for burrowing into sand,n02529293,"beaked salmon, sandfish, Gonorhynchus gonorhynchus"
30419,any of numerous soft-finned schooling food fishes of shallow waters of northern seas,n02529772,"clupeid fish, clupeid"
30430,shad-like food fish that runs rivers to spawn; often salted or smoked; sometimes placed in genus Pomolobus,n02531114,"alewife, Alosa pseudoharengus, Pomolobus pseudoharengus"
30431,shad-like North American marine fishes used for fish meal and oil and fertilizer,n02531625,"menhaden, Brevoortia tyrannis"
30432,small fishes found in great schools along coasts of Europe; smaller and rounder than herring,n02533209,"pilchard, sardine, Sardina pilchardus"
30433,small pilchards common off the pacific coast of North America,n02533545,"Pacific sardine, Sardinops caerulea"
30434,small herring-like plankton-eating fishes often canned whole or as paste; abundant in tropical waters worldwide,n02533834,anchovy
30435,esteemed for its flavor; usually preserved or used for sauces and relishes,n02534165,"mediterranean anchovy, Engraulis encrasicholus"
30436,soft-finned fishes of cold and temperate waters,n02534559,salmonid
30452,any of several small trout-like fish of the genus Salvelinus,n02538406,"char, charr"
30453,small trout of northern waters; landlocked populations in Quebec and northern New England,n02538562,"Arctic char, Salvelinus alpinus"
30454,small trout-like silvery marine or freshwater food fishes of cold northern waters,n02540412,smelt
30455,important marine and landlocked food fish of eastern North America and Alaska,n02540791,"rainbow smelt, Osmerus mordax"
30456,the common smelt of Europe,n02540983,"sparling, European smelt, Osmerus eperlanus"
30457,very small northern fish; forage for sea birds and marine mammals and other fishes,n02541257,"capelin, capelan, caplin"
30458,large silvery game fish of warm Atlantic coastal waters especially off Florida,n02541687,"tarpon, Tarpon atlanticus"
30459,game fish resembling the tarpon but smaller,n02542017,"ladyfish, tenpounder, Elops saurus"
30460,slender silvery marine fish found in tropical mud flats and mangrove lagoons,n02542432,"bonefish, Albula vulpes"
30461,any of various small silver-scaled salmon-like marine fishes,n02542958,argentine
30462,small fish having rows of luminous organs along each side; some surface at night,n02543255,lanternfish
30463,tropical fishes with large mouths in lizard-like heads; found worldwide,n02543565,"lizardfish, snakefish, snake-fish"
30464,bottom-dwellers having large eyes with metallic green luster,n02543952,greeneye
30465,large elongate scaleless oceanic fishes with sharp teeth and a long dorsal fin that resembles a sail,n02544274,"lancetfish, lancet fish, wolffish"
30466,a soft-finned fish of the genus Alepisaurus,n02544475,handsaw fish
30467,large elliptical brightly colored deep-sea fish of Atlantic and Pacific and Mediterranean,n02545841,"opah, moonfish, Lampris regius"
30468,from Nova Scotia to West Indies and Gulf of Mexico,n02546028,"New World opah, Lampris guttatus"
30469,marine fish having a long compressed ribbonlike body,n02546331,ribbonfish
30470,deep-sea ribbonfish,n02546627,"dealfish, Trachipterus arcticus"
30471,thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin,n02547014,"oarfish, king of the herring, ribbonfish, Regalecus glesne"
30472,slender tropical fish with a long tubular snout and bony plates instead of scales,n01454545,cornetfish
30473,fish with long tubular snout and slim body covered with bony plates,n01455778,"pipefish, needlefish"
30474,small (4 inches) fish found off the Florida Gulf Coast,n01456137,"dwarf pipefish, Syngnathus hildebrandi"
30475,a fish 8 inches long; found from eastern Florida to western Caribbean,n01456454,"deepwater pipefish, Cosmocampus profundus"
30476,small fish with horse-like heads bent sharply downward and curled tails; swim in upright position,n01456756,"seahorse, sea horse"
30477,small bottom-dwelling fish of warm seas having a compressed body and a long snout with a toothless mouth,n01457082,"snipefish, bellows fish"
30478,slender tropical shallow-water East Indian fish covered with transparent plates,n01457407,"shrimpfish, shrimp-fish"
30479,tropical Atlantic fish with a long snout; swims snout down,n01457852,"trumpetfish, Aulostomus maculatus"
30480,elongate European surface-dwelling predacious fishes with long toothed jaws; abundant in coastal waters,n02549989,"needlefish, gar, billfish"
30481,found in warm waters of western Atlantic,n02550203,timucu
30482,tropical marine fishes having enlarged winglike fins used for brief gliding flight,n02550460,flying fish
30483,having only pectoral fins enlarged,n02550655,"monoplane flying fish, two-wing flying fish"
30484,having both pectoral and pelvic fins enlarged,n02550780,"biplane flying fish, four-wing flying fish"
30485,tropical and subtropical marine and freshwater fishes having an elongated body and long protruding lower jaw,n02551134,halfbeak
30486,slender long-beaked fish of temperate Atlantic waters,n02551668,"saury, billfish, Scomberesox saurus"
30487,a teleost fish with fins that are supported by sharp inflexible rays,n02552171,"spiny-finned fish, acanthopterygian"
30488,"very small, brightly colored (especially red) nocturnal fishes of shallow waters or tropical reefs; they make sounds like a squirrel's bark",n01450661,squirrelfish
30489,on reefs from Bermuda and Florida to northern South America,n01450950,"reef squirrelfish, Holocentrus coruscus"
30490,a squirrelfish found from South Carolina to Bermuda and Gulf of Mexico,n01451115,"deepwater squirrelfish, Holocentrus bullisi"
30491,bright red fish of West Indies and Bermuda,n01451295,Holocentrus ascensionis
30492,the larger squirrelfishes,n01451426,"soldierfish, soldier-fish"
30493,fish having a luminous organ beneath eye; of warm waters of the western Pacific and Puerto Rico,n01451863,"anomalops, flashlight fish"
30494,fish of deep dark waters having a light organ below each eye,n01452345,"flashlight fish, Photoblepharon palpebratus"
30495,marine fishes widely distributed in mid-waters and deep slope waters,n01452798,dory
30496,European dory,n01453087,"John Dory, Zeus faber"
30497,fish with a projecting snout,n01453475,"boarfish, Capros aper"
30498,fish with large eyes and long snouts,n01453742,boarfish
30499,small (2-4 inches) pugnacious mostly scaleless spiny-backed fishes of northern fresh and littoral waters having elaborate courtship; subjects of much research,n01454856,"stickleback, prickleback"
30500,confined to rivers,n01455461,"ten-spined stickleback, Gasterosteus pungitius"
30501,of rivers and coastal regions,n01455317,"three-spined stickleback, Gasterosteus aculeatus"
30502,bottom-dweller of warm western Atlantic coastal waters having a flattened scaleless body that crawls about on fleshy pectoral and pelvic fins,n02547733,batfish
30503,fishes having large mouths with a wormlike filament attached for luring prey,n02548247,"goosefish, angler, anglerfish, angler fish, monkfish, lotte, allmouth, Lophius Americanus"
30504,bottom-dwelling fish having scaleless slimy skin and a broad thick head with a wide mouth,n02548689,"toadfish, Opsanus tau"
30505,a variety of toadfish,n02548884,"oyster fish, oyster-fish, oysterfish"
30506,fish having a frog-like mouth with a lure on the snout,n02549248,frogfish
30507,small fantastically formed and colored fishes found among masses of sargassum,n02549376,sargassum fish
30508,any of numerous spiny-finned fishes of the order Perciformes,n02554730,"percoid fish, percoid, percoidean"
30519,any of numerous spiny-finned fishes of various families of the order Perciformes,n02555863,perch
30520,spiny-finned freshwater food and game fishes,n02556846,perch
30521,North American perch,n02557182,"yellow perch, Perca flavescens"
30522,a perch native to Europe,n02557318,"European perch, Perca fluviatilis"
30523,any of several pike-like fishes of the perch family,n02557591,"pike-perch, pike perch"
30524,pike-like freshwater perches,n02557749,"walleye, walleyed pike, jack salmon, dory, Stizostedion vitreum"
30525,a small snail-eating perch of the Tennessee River,n02558206,"snail darter, Percina tanasi"
30526,either of two small silvery scaleless fishes of the northern Pacific that burrow into sand,n02558560,sandfish
30527,elongate compressed somewhat eel-shaped fishes,n02558860,cusk-eel
30528,deep-sea fishes,n02559144,brotula
30529,found living within the alimentary canals of e.g. sea cucumbers or between the shells of pearl oysters in or near shallow seagrass beds,n02559383,"pearlfish, pearl-fish"
30530,a kind of percoid fish,n02559862,robalo
30531,large tropical American food and game fishes of coastal and brackish waters; resemble pike,n02560110,snook
30532,any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere,n02561108,pike
30533,voracious piscivorous pike of waters of northern hemisphere,n02561381,"northern pike, Esox lucius"
30534,large (60 to 80 pounds) sport fish of North America,n02561514,"muskellunge, Esox masquinongy"
30535,any of several North American species of small pike,n02561661,pickerel
30536,common in quiet waters of eastern United States,n02561803,"chain pickerel, chain pike, Esox niger"
30537,small but gamy pickerel of Atlantic coastal states,n02561937,"redfin pickerel, barred pickerel, Esox americanus"
30538,small carnivorous freshwater percoid fishes of North America usually having a laterally compressed body and metallic luster: crappies; black bass; bluegills; pumpkinseed,n02562315,"sunfish, centrarchid"
30539,small sunfishes of central United States rivers,n02562796,crappie
30540,a crappie that is black,n02562971,"black crappie, Pomoxis nigromaculatus"
30541,a crappie that is white,n02563079,"white crappie, Pomoxis annularis"
30542,any of various usually edible freshwater percoid fishes having compressed bodies and shiny scales; especially (but not exclusively) of the genus Lepomis,n02563182,"freshwater bream, bream"
30543,European freshwater fish having a flattened body and silvery scales; of little value as food,n01440467,"European bream, Abramis brama"
30544,important edible sunfish of eastern and central United States,n02563792,"bluegill, Lepomis macrochirus"
30545,inhabits streams from South Carolina to Florida; esteemed panfish,n02563949,"spotted sunfish, stumpknocker, Lepomis punctatus"
30546,small brilliantly colored North American sunfish,n02563648,"pumpkinseed, Lepomis gibbosus"
30547,game and food fish of upper Mississippi and Great Lakes,n02564403,"rock bass, rock sunfish, Ambloplites rupestris"
30548,widely distributed and highly prized American freshwater game fishes (sunfish family),n02564720,black bass
30549,a variety of black bass,n02564935,"Kentucky black bass, spotted black bass, Micropterus pseudoplites"
30550,a variety of black bass; the angle of the jaw falls below the eye,n02565072,"smallmouth, smallmouth bass, smallmouthed bass, smallmouth black bass, smallmouthed black bass, Micropterus dolomieu"
30551,a large black bass; the angle of the jaw falls behind the eye,n02565324,"largemouth, largemouth bass, largemouthed bass, largemouth black bass, largemouthed black bass, Micropterus salmoides"
30552,nontechnical name for any of numerous edible marine and freshwater spiny-finned fishes,n02565573,bass
30553,North American food and game fish,n02564270,freshwater bass
30554,marine food sport fishes mainly of warm coastal waters,n02566109,"serranid fish, serranid"
30563,small silvery food and game fish of eastern United States streams,n02566489,"white perch, silver perch, Morone americana"
30564,North American freshwater bass resembling the larger marine striped bass,n02566665,"yellow bass, Morone interrupta"
30565,fishes with slimy mucus-covered skin; found in the warm Atlantic coastal waters of America,n02570484,soapfish
30566,small to medium-sized shallow-water fishes of the Pacific coast of North America,n02570838,"surfperch, surffish, surf fish"
30567,Pacific coast fish,n02571167,"rainbow seaperch, rainbow perch, Hipsurus caryi"
30568,red fishes of American coastal tropical waters having very large eyes and rough scales,n02571652,bigeye
30569,brightly colored carnivorous fish of western Atlantic and West Indies waters,n02571810,"catalufa, Priacanthus arenatus"
30570,small red fishes of coral reefs and inshore tropical waters,n02572196,cardinalfish
30571,a cardinalfish found in tropical Atlantic coastal waters,n02572484,"flame fish, flamefish, Apogon maculatus"
30572,found in West Indies; lives in mantle cavity of a living conch,n02572763,"conchfish, Astropogon stellatus"
30573,yellow-spotted violet food fish of warm deep waters,n02573249,"tilefish, Lopholatilus chamaeleonticeps"
30574,bluish warm-water marine food and game fish that follow schools of small fishes into shallow waters,n02573704,"bluefish, Pomatomus saltatrix"
30575,large dark-striped tropical food and game fish related to remoras; found worldwide in coastal to open waters,n02574271,"cobia, Rachycentron canadum, sergeant fish"
30576,a percoid fish of the family Carangidae,n02576223,"carangid fish, carangid"
30577,any of several fast-swimming predacious fishes of tropical to warm temperate seas,n02576575,jack
30578,fish of western Atlantic and Gulf of Mexico,n02576906,"crevalle jack, jack crevalle, Caranx hippos"
30579,fish of western Atlantic and Gulf of Mexico,n02577041,"yellow jack, Caranx bartholomaei"
30580,fish of western Atlantic: Cape Cod to Brazil,n02577164,"runner, blue runner, Caranx crysos"
30581,streamlined cigar-shaped jack; good game fish,n02577403,"rainbow runner, Elagatis bipinnulata"
30582,any of several New World tropical fishes having tiny embedded scales,n02577662,"leatherjacket, leatherjack"
30583,fish having greatly elongated front rays on dorsal and anal fins,n02577952,"threadfish, thread-fish, Alectis ciliaris"
30584,any of several amber to coppery fork-tailed warm-water carangid fishes,n02578771,"amberjack, amberfish"
30585,game fish of southern California and Mexico having a yellow tail fin,n02578928,"yellowtail, Seriola dorsalis"
30586,fish having the habit of following ships; found in North American and South American coastal waters,n02579091,"rudderfish, banded rudderfish, Seriola zonata"
30587,large game fish of Australia and New Zealand,n02579303,"kingfish, Seriola grandis"
30588,any of several silvery marine fishes with very flat bodies,n02578233,"moonfish, Atlantic moonfish, horsefish, horsehead, horse-head, dollarfish, Selene setapinnis"
30589,similar to moonfish but with eyes high on the truncated forehead,n02578454,"lookdown, lookdown fish, Selene vomer"
30590,any of several deep-bodied food fishes of western Atlantic and Gulf of Mexico,n02579557,pompano
30591,found in coastal waters New England to Brazil except clear waters of West Indies,n02579762,"Florida pompano, Trachinotus carolinus"
30592,large game fish; found in waters of the West Indies,n02579928,"permit, Trachinotus falcatus"
30593,small pelagic fish often accompanying sharks or mantas,n02580188,"pilotfish, Naucrates ductor"
30594,any of a number of fishes of the family Carangidae,n02580336,scad
30595,a California food fish,n02580679,"horse mackerel, jack mackerel, Spanish mackerel, saurel, Trachurus symmetricus"
30596,large elongated compressed food fish of the Atlantic waters of Europe,n02580830,"horse mackerel, saurel, Trachurus trachurus"
30597,of Atlantic coastal waters; commonly used for bait,n02581108,"bigeye scad, big-eyed scad, goggle-eye, Selar crumenophthalmus"
30598,small silvery fish; Nova Scotia to Brazil,n02581482,"mackerel scad, mackerel shad, Decapterus macarellus"
30599,small fusiform fish of western Atlantic,n02581642,"round scad, cigarfish, quiaquia, Decapterus punctatus"
30600,large slender food and game fish widely distributed in warm seas (especially around Hawaii),n02581957,"dolphinfish, dolphin, mahimahi"
30601,the more common dolphinfish valued as food; about six feet long,n02582220,Coryphaena hippurus
30602,a kind of dolphinfish,n02582349,Coryphaena equisetis
30603,important marine food fishes,n02583096,"blanquillo, tilefish"
30604,freshwater fishes of tropical America and Africa and Asia similar to American sunfishes; some are food fishes; many small ones are popular in aquariums,n02585872,"cichlid, cichlid fish"
30605,important food fish of the Nile and other rivers of Africa and Asia Minor,n02586238,"bolti, Tilapia nilotica"
30606,medium-sized tropical marine food fishes that utter grunting sounds when caught,n02588286,grunt
30607,a grunt with a red mouth that is found from Florida to Brazil,n02588794,"margate, Haemulon album"
30608,a kind of grunt,n02588945,"Spanish grunt, Haemulon macrostomum"
30609,found off the West Indies and Florida,n02589062,"tomtate, Haemulon aurolineatum"
30610,of warm Atlantic waters,n02589196,"cottonwick, Haemulon malanurum"
30611,a grunt found from Florida to Brazil and Gulf of Mexico,n02589316,"sailor's-choice, sailors choice, Haemulon parra"
30612,black and gold grunt found from Bermuda to Caribbean to Brazil,n02589623,"porkfish, pork-fish, Anisotremus virginicus"
30613,dusky grey food fish found from Louisiana and Florida southward,n02589796,"pompon, black margate, Anisotremus surinamensis"
30614,found from Long Island southward,n02590094,"pigfish, hogfish, Orthopristis chrysopterus"
30615,spiny-finned food fishes of warm waters having well-developed teeth,n02590495,"sparid, sparid fish"
30616,large (up to 20 lbs) food fish of the eastern coast of the United States and Mexico,n02592055,"sheepshead, Archosargus probatocephalus"
30617,similar to sea bream; small spiny-finned fish found in bays along the southeastern coast of the United States,n02592371,"pinfish, sailor's-choice, squirrelfish, Lagodon rhomboides"
30618,Australian food fish having a pinkish body with blue spots,n02593019,"snapper, Chrysophrys auratus"
30619,any of numerous marine percoid fishes especially (but not exclusively) of the family Sparidae,n02590702,"sea bream, bream"
30620,deep-bodied sooty-black pelagic spiny-finned fish of the northern Atlantic and northern Pacific; valued for food,n02582721,"pomfret, Brama raii"
30621,important deep-bodied food and sport fish of warm and tropical coastal waters; found worldwide,n02590987,porgy
30622,food fish of the Mediterranean and Atlantic coasts of Europe and America,n02591330,"red porgy, Pagrus pagrus"
30623,from Florida and Bahamas to Brazil,n02592734,"sheepshead porgy, Calamus penna"
30624,found in Atlantic coastal waters of North America from South Carolina to Maine; esteemed as a panfish,n02593453,"scup, northern porgy, northern scup, Stenotomus chrysops"
30625,porgy of southern Atlantic coastal waters of North America,n02593679,"scup, southern porgy, southern scup, Stenotomus aculeatus"
30626,food fish of European coastal waters,n02591613,"European sea bream, Pagellus centrodontus"
30627,sea bream of warm Atlantic waters,n02591911,"Atlantic sea bream, Archosargus rhomboidalis"
30628,important dark-colored edible food and game fish of Australia,n02593191,"black bream, Chrysophrys australis"
30629,widely distributed family of carnivorous percoid fishes having a large air bladder used to produce sound,n02594250,"sciaenid fish, sciaenid"
30630,small to medium-sized bottom-dwelling food and game fishes of shallow coastal and fresh waters that make a drumming noise,n02594552,"drum, drumfish"
30631,a kind of drumfish,n02594942,"striped drum, Equetus pulcher"
30632,black-and-white drumfish with an erect elongated dorsal fin,n02595056,"jackknife-fish, Equetus lanceolatus"
30633,small silvery drumfish often mistaken for white perch; found along coasts of United States from New York to Mexico,n02595339,"silver perch, mademoiselle, Bairdiella chrysoura"
30634,large edible fish found off coast of United States from Massachusetts to Mexico,n02595702,"red drum, channel bass, redfish, Sciaenops ocellatus"
30635,large important food fish of Australia; almost indistinguishable from the maigre,n02596067,"mulloway, jewfish, Sciaena antarctica"
30636,large European marine food fish,n02596252,"maigre, maiger, Sciaena aquila"
30637,any of several fishes that make a croaking noise,n02596381,croaker
30638,a silvery-bodied croaker with dark markings and tiny barbels,n02596720,"Atlantic croaker, Micropogonias undulatus"
30639,a fish of the Pacific coast of North America,n02597004,"yellowfin croaker, surffish, surf fish, Umbrina roncador"
30640,small silvery marine food fish found off California,n02598573,"white croaker, chenfish, kingfish, Genyonemus lineatus"
30641,silvery and bluish drumfish of shallow California coastal waters,n02598878,"white croaker, queenfish, Seriphus politus"
30642,any of several food fishes of North American coastal waters,n02597367,whiting
30643,any of several food and game fishes of the drum family indigenous to warm Atlantic waters of the North American coast,n02597608,kingfish
30644,whiting of the southeastern coast of North America,n02597818,"king whiting, Menticirrhus americanus"
30645,whiting of the east coast of United States; closely resembles king whiting,n02597972,"northern whiting, Menticirrhus saxatilis"
30646,bluish-grey whiting of California coast,n02598134,"corbina, Menticirrhus undulatus"
30647,a dull silvery whiting of southern Atlantic and Gulf Coasts of the United States,n02598252,"silver whiting, Menticirrhus littoralis"
30648,any of several sciaenid fishes of North American coastal waters,n02599052,sea trout
30649,weakfish of southern Atlantic and Gulf Coasts of United States,n02599557,"spotted weakfish, spotted sea trout, spotted squeateague, Cynoscion nebulosus"
30650,food and game fish of North American coastal waters with a mouth from which hooks easily tear out,n02599347,"weakfish, Cynoscion regalis"
30651,freshwater or coastal food fishes a spindle-shaped body; found worldwide,n02601344,"mullet, grey mullet, gray mullet"
30652,most important commercial mullet in eastern United States,n02601767,"striped mullet, Mugil cephalus"
30653,silvery mullet of Atlantic and Pacific coasts,n02601921,"white mullet, Mugil curema"
30654,similar to the striped mullet and takes its place in the Caribbean region,n02602059,"liza, Mugil liza"
30655,schooling fishes mostly of Indian and western Pacific oceans; two species in western Atlantic,n02604157,sea chub
30656,food and game fish around Bermuda and Florida; often follow ships,n02604480,"Bermuda chub, rudderfish, Kyphosus sectatrix"
30657,deep-bodied disk-shaped food fish of warmer western Atlantic coastal waters,n02604954,"spadefish, angelfish, Chaetodipterus faber"
30658,small usually brilliantly colored tropical marine fishes having narrow deep bodies with large broad fins; found worldwide,n02605316,butterfly fish
30659,any fish of the genus Chaetodon,n02605703,chaetodon
30660,a butterfly fish of the genus Pomacanthus,n02605936,angelfish
30661,gold and black butterflyfish found from West Indies to Brazil,n02606052,"rock beauty, Holocanthus tricolor"
30662,small brilliantly colored tropical marine fishes of coral reefs,n02606384,"damselfish, demoiselle"
30663,a blue and yellow damselfish of Bermuda and Florida and the West Indies,n02606751,"beaugregory, Pomacentrus leucostictus"
